"0@ID_REP";"1@REGION";"2@DEPARTEMENT";"3@COMMUNE";"4@CAV";"5@CONCESSIONS";"6@MENAGES";"7@QUARTIERS-VILLAGES";"8@HOMMES";"9@FEMMES";"10@POPULATION";"11@OBSERVATIONS"
16112;"MATAM";"RANEROU";"VELINGARA";"VELINGARA";4;22;"BOUNDOU MBABA MBOURLOGME";56;68;124;"-"
16113;"MATAM";"RANEROU";"VELINGARA";"VELINGARA";17;54;"BOUNDOU MBABA SANTHIE";143;151;294;"-"
16114;"MATAM";"RANEROU";"VELINGARA";"VELINGARA";4;4;"DANTHIALY";18;13;32;"-"
16115;"MATAM";"RANEROU";"VELINGARA";"VELINGARA";6;13;"DAROU RAHMANE BOUNDOU MBABA";27;31;58;"-"
16116;"MATAM";"RANEROU";"VELINGARA";"VELINGARA";4;6;"DAYANE DIABY";28;27;55;"-"
16117;"MATAM";"RANEROU";"VELINGARA";"VELINGARA";22;37;"DAYANE GASSEL";161;137;298;"-"
16118;"MATAM";"RANEROU";"VELINGARA";"VELINGARA";23;47;"DAYANE GUELODE";167;157;325;"-"
16119;"MATAM";"RANEROU";"VELINGARA";"VELINGARA";18;43;"DAYANE KADIOLY";165;177;343;"-"
16120;"MATAM";"RANEROU";"VELINGARA";"VELINGARA";15;31;"DAYANE MBOURDI";113;121;234;"-"
16121;"MATAM";"RANEROU";"VELINGARA";"VELINGARA";10;21;"DAYANE SELLE";89;105;194;"-"
16122;"MATAM";"RANEROU";"VELINGARA";"VELINGARA";12;15;"DEMEREDJI";65;57;123;"-"
16123;"MATAM";"RANEROU";"VELINGARA";"VELINGARA";10;15;"DIAM WELI";46;37;84;"-"
16124;"MATAM";"RANEROU";"VELINGARA";"VELINGARA";17;20;"FASS VELINGARA";105;72;177;"-"
16125;"MATAM";"RANEROU";"VELINGARA";"VELINGARA";10;16;"GAMBOL";62;75;137;"-"
16126;"MATAM";"RANEROU";"VELINGARA";"VELINGARA";10;10;"GUELEMOUNE";48;46;94;"-"
16127;"MATAM";"RANEROU";"VELINGARA";"VELINGARA";5;8;"KAWEL";32;29;62;"-"
